,AROT_H,AROT_M,AROT_L,AROT_UM,AROT_J,AROT_S,DROT_H,DROT_M,DROT_L,DROT_UM,DROT_J,DROT_S
267,68.0,57.0,,57.0,79.0,,65.0,46.0,,43.0,46.0,
268,63.0,57.0,,67.0,76.0,,40.0,42.0,,34.0,42.0,
269,61.0,50.0,,55.0,69.0,,55.0,48.0,,56.0,69.0,
270,62.0,50.0,,55.0,79.0,,37.0,45.0,,70.0,49.0,
271,67.0,56.0,,49.0,78.0,,52.0,40.0,,53.0,43.0,
272,79.0,51.0,,67.0,79.0,,42.0,37.0,,45.0,43.0,
273,67.0,57.0,,53.0,78.0,,32.0,43.0,,42.0,46.0,
274,73.0,54.0,,62.0,71.0,,51.0,59.0,,50.0,49.0,
275,71.0,51.0,,49.0,76.0,,48.0,83.0,,44.0,40.0,
276,58.0,62.0,,55.0,85.0,,47.0,30.0,,41.0,55.0,
277,55.0,59.0,,46.0,87.0,,42.0,38.0,,46.0,46.0,
278,55.0,59.0,,56.0,98.0,,50.0,34.0,,39.0,42.0,
279,57.0,78.0,,67.0,84.0,,47.0,43.0,,51.0,58.0,
280,58.0,55.0,,53.0,83.0,,53.0,36.0,,45.0,83.0,
281,62.0,55.0,,69.0,80.0,,47.0,36.0,,49.0,49.0,
282,56.0,59.0,,52.0,83.0,,53.0,33.0,,41.0,40.0,
283,66.0,47.0,,51.0,82.0,,54.0,34.0,,34.0,44.0,
284,64.0,59.0,,52.0,80.0,,48.0,32.0,,39.0,38.0,
285,61.0,54.0,,61.0,80.0,,29.0,28.0,,37.0,50.0,
286,55.0,53.0,,56.0,78.0,,54.0,39.0,,63.0,48.0,
287,82.0,52.0,,64.0,82.0,,52.0,47.0,,38.0,61.0,
288,63.0,54.0,,52.0,75.0,,48.0,51.0,,52.0,70.0,
289,57.0,54.0,,57.0,79.0,,57.0,42.0,,41.0,39.0,
290,63.0,51.0,,62.0,73.0,,35.0,40.0,,40.0,45.0,
291,63.0,60.0,,51.0,72.0,,51.0,35.0,,35.0,60.0,
292,64.0,57.0,,55.0,59.0,,40.0,34.0,,40.0,57.0,
293,55.0,59.0,,62.0,82.0,,48.0,35.0,,38.0,38.0,
294,61.0,53.0,,69.0,70.0,,63.0,46.0,,45.0,42.0,
295,62.0,53.0,,61.0,81.0,,45.0,57.0,,48.0,49.0,
296,60.0,51.0,,50.0,79.0,,49.0,44.0,,39.0,44.0,
297,61.0,62.0,,58.0,73.0,,37.0,25.0,,42.0,39.0,
298,69.0,57.0,,52.0,82.0,,40.0,48.0,,47.0,48.0,
299,60.0,55.0,,56.0,81.0,,49.0,32.0,,41.0,47.0,
300,67.0,53.0,,60.0,77.0,,50.0,41.0,,86.0,37.0,
301,68.0,52.0,,65.0,71.0,,43.0,35.0,,30.0,44.0,
302,66.0,56.0,,57.0,80.0,,51.0,54.0,,44.0,55.0,
303,69.0,62.0,,72.0,83.0,,54.0,51.0,,47.0,39.0,
304,68.0,55.0,,65.0,74.0,,50.0,48.0,,29.0,41.0,
305,67.0,60.0,,53.0,81.0,,60.0,35.0,,37.0,44.0,
